"
abandoned V_PST_OLR abandon
abandoned V_PSP_OLR abandon
abandoned V_PAS_ODLR abandon
abandoning V_PRP_OLR abandon
abetted V_PST_OLR abet
abetted V_PSP_OLR abet
abetted V_PAS_ODLR abet
abetting V_PRP_OLR abet
abhorred V_PST_OLR abhor
abhorred V_PSP_OLR abhor
abhorred V_PAS_ODLR abhor
abhorring V_PRP_OLR abhor
abutted V_PST_OLR abut
abutted V_PSP_OLR abut
abutted V_PAS_ODLR abut
abutting V_PRP_OLR abut
accused N_PL_OLR accused
acquitted V_PST_OLR acquit
acquitted V_PSP_OLR acquit
acquitted V_PAS_ODLR acquit
acquitting V_PRP_OLR acquit
admitted V_PST_OLR admit
admitted V_PSP_OLR admit
admitted V_PAS_ODLR admit
admitting V_PRP_OLR admit
adventurous N_PL_OLR adventurous
aircraft N_PL_OLR aircraft
airmen N_PL_OLR airman
aldermen N_PL_OLR alderman
algae N_PL_OLR algae
aliases N_PL_OLR alias
alighted V_PST_OLR alight
alighted V_PSP_OLR alight
alit V_PST_OLR alight
alit V_PSP_OLR alight
alkalies N_PL_OLR alkali
allotted V_PST_OLR allot
allotted V_PSP_OLR allot
allotted V_PAS_ODLR allot
allotting V_PRP_OLR allot
anaconda N_PL_OLR anaconda
anacondas N_PL_OLR anaconda
analyses N_PL_OLR analysis
ancient N_PL_OLR ancient
answered V_PST_OLR answer
answered V_PSP_OLR answer
answered V_PAS_ODLR answer
answering V_PRP_OLR answer
antitheses N_PL_OLR antithesis
appendices N_PL_OLR appendix
apts. N_PL_OLR apts.
archegonia N_PL_OLR archegonium
archerfish N_PL_OLR archerfish
arisen V_PSP_OLR arise
arose V_PST_OLR arise
asyla N_PL_OLR asylum
atria N_PL_OLR atrium
audited V_PST_OLR audit
audited V_PSP_OLR audit
audited V_PAS_ODLR audit
auditing V_PRP_OLR audit
awoke V_PST_OLR awake
awoken V_PSP_OLR awake
awoken V_PAS_ODLR awake
ate V_PST_OLR eat
axes N_PL_OLR axis
babysat V_PST_OLR babysit
babysat V_PSP_OLR babysit
babysitting V_PRP_OLR babysit
backordered V_PST_OLR backorder
backordered V_PSP_OLR backorder
backordered V_PAS_ODLR backorder
backordering V_PRP_OLR backorder
bacteria N_PL_OLR bacteria
bade V_PST_OLR bid
bagged V_PST_OLR bag
bagged V_PSP_OLR bag
bagged V_PAS_ODLR bag
bagging V_PRP_OLR bag
baht N_PL_OLR baht
barmen N_PL_OLR barman
barred V_PST_OLR bar
barred V_PSP_OLR bar
barred V_PAS_ODLR bar
barring V_PRP_OLR bar
bases N_PL_OLR basis
batsmen N_PL_OLR batsman
batted V_PST_OLR bat
batted V_PSP_OLR bat
batted V_PAS_ODLR bat
batting V_PRP_OLR bat
baud N_PL_OLR baud
beat V_PST_OLR beat
beaten V_PSP_OLR beat
beaten V_PAS_ODLR beat
became V_PST_OLR become
become V_PSP_OLR become
bedded V_PST_OLR bed
bedded V_PSP_OLR bed
bedded V_PAS_ODLR bed
bedding V_PRP_OLR bed
befell V_PST_OLR befall
befallen V_PSP_OLR befall
befallen V_PAS_ODLR befall
befitted V_PST_OLR befit
befitted V_PSP_OLR befit
befitted V_PAS_ODLR befit
befitting V_PRP_OLR befit
begged V_PST_OLR beg
begged V_PSP_OLR beg
begged V_PAS_ODLR beg
begging V_PRP_OLR beg
began V_PST_OLR begin
begun V_PSP_OLR begin
begun V_PAS_ODLR begin
